Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
         211.06,211.0584987,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
          30.16,30.16064735,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
          16.49,16.49446858,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
          44.05,44.04631857,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
         119.05,119.0542476,Expenditure per head,2,2,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
          56.77,56.77420168,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
          71.77,71.77269639,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
         170.90,170.8999977,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
          97.63,97.63353519,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
          53.64,53.63742156,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
         167.87,167.8728245,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
          41.50,41.49923789,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
          60.36,60.355259,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
         162.63,162.6303897,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
          25.36,25.36021608,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
          35.63,35.63325187,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.00,0,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.05,0.048558152,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
          58.98,58.98005586,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
         161.02,161.0175566,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
           2.31,2.311970143,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
          73.42,73.42027435,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
          44.13,44.1269893,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
         160.42,160.4243434,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
          71.79,71.78621231,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
          79.72,79.71595799,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
         158.33,158.330966,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
          87.89,87.8881259,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
          38.66,38.66452487,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
          37.29,37.28826064,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
          46.45,46.44799419,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
          52.66,52.66383713,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
         170.23,170.2297758,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
          36.47,36.47250465,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
          55.29,55.29100975,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.00,0,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.16,0.163090322,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
          67.77,67.76818231,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
         210.33,210.3313218,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
          53.01,53.01484249,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
          28.74,28.73713708,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
          43.87,43.86786866,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
