Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23 
total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
infectious_diseases_total,1.477171,1.112251,1.149101,1.077312,1.165949,1.172901,1.230678,1.312832,2.140619,1.913148,1.582868,7.173324,4.38247,3.131342
cancers_tumours_total,7.110024,5.909523,6.50012,6.609368,6.774591,6.954234,6.744686,6.493957,6.481601,6.576806,6.44721,6.50655,6.944956,6.794874
blood_disorders_total,1.03893,0.953981,0.572566,0.675211,0.833742,0.96616,0.889494,0.946062,1.008013,1.096253,1.479862,1.252906,1.099797,1.150447
endocrine_nutritional_metabolic_problems_total,3.128134,3.471026,3.300726,3.992493,4.117677,4.083754,3.954002,4.053011,4.596233,4.802034,4.651594,4.626992,4.721083,4.903328
diabetes,1.383508,1.644976,1.542077,1.843694,1.807887,1.739379,1.685516,1.837408,2.086128,2.186537,2.271666,2.011193,2.036819,2.061468
other_endocrine_nutritional_and_metabolic_problems,1.744626,1.82605,1.758649,2.1488,2.30979,2.344375,2.673719,2.215603,2.510105,2.615498,2.379928,2.615798,2.684264,2.84186
mental_health_problems_total,13.007612,14.107804,13.995707,11.723507,12.774477,12.591861,12.125802,11.920912,11.978732,11.964354,11.838576,12.252429,11.566005,12.143911
general_mental_illness,7.41684,8.702537,8.39466,6.873982,6.764944,6.717891,6.446994,6.748907,7.108795,6.852779,6.553784,6.755534,6.806281,6.801256
elderly_mental_illness,3.518148,3.340109,3.477376,2.719163,3.50108,3.692779,3.538884,3.383966,3.21902,2.919859,2.847847,2.758444,2.586896,2.973931
child_adolescent_mental_health_services,0.565985,0.62213,0.686274,0.796986,0.764279,0.741282,0.784846,0.615977,0.737526,0.937888,0.932208,1.009673,0.873265,0.960836
other_mental_health_problems,1.50664,1.443027,1.437397,1.333376,1.744173,1.439908,1.355079,1.172062,0.913392,1.253827,1.504738,1.728777,1.299564,1.407887
learning_disability_problems_total,1.214725,1.243133,1.25471,1.256804,1.084328,1.178692,1.045719,1.254144,1.145784,1.048607,1.041992,1.040292,1.005766,1.005645
neurological_system_problems_total,2.7271,2.70161,2.380468,3.758288,4.081393,4.653641,4.999054,4.989378,4.703057,4.68891,4.159487,3.993576,3.78686,4.295849
eyevision_problems_total,2.123482,2.09609,1.871807,2.183588,2.393189,2.456933,2.509518,2.971667,2.858939,2.442466,2.941638,1.940056,2.47822,2.54921
hearing_problems_total,0.36999,0.372746,0.365483,0.379419,0.378375,0.459711,0.46199,0.529018,0.538061,0.513519,0.707678,0.478173,0.517334,0.586237
circulation_problems_total,8.27598,8.413188,8.097059,8.090253,7.620327,7.573627,7.829365,7.767952,7.411943,7.339796,7.395244,6.902853,7.491817,7.343545
coronary_heart_disease,3.053907,2.935263,2.762265,2.290152,2.106989,2.025377,1.897586,1.885595,1.794543,1.724906,1.450375,1.36789,1.493959,1.397834
cerebrovascular_disease,1.388815,1.336216,1.402657,1.450096,1.50129,1.495738,1.506667,1.247864,1.228759,1.241246,1.205869,1.39708,1.437354,1.231837
other_problems_of_circulation,3.833258,4.14171,3.932137,4.350006,4.012049,4.052511,4.425112,4.634493,4.388641,4.373645,4.739,4.137882,4.560504,4.713874
respiratory_problems_total,7.311977,6.813146,7.283388,7.624038,7.390804,7.48286,7.381721,7.606263,7.548352,7.114516,6.848247,5.186578,5.713678,6.54471
dental_problems_total,4.170541,3.786694,3.31738,4.14594,3.578135,3.519525,3.848888,3.253194,3.2304,3.263629,3.089429,2.775555,2.758297,2.690476
gastro_intestinal_problems_total,5.581315,5.399741,5.207019,5.492698,5.437587,5.593306,5.790479,6.145192,6.051968,6.261836,5.852385,6.374768,6.22578,6.995149
skin_problems_total,2.063531,1.869526,1.88174,2.324995,1.817649,1.953771,1.618834,1.965872,1.661639,1.890019,1.932083,2.052067,1.873618,2.20204
musculo_skeletal_system_problems_exc_trauma_total,5.299965,5.274587,5.407394,6.683886,6.001517,6.098281,5.64711,5.988986,5.452832,5.419805,4.988682,3.085341,3.564802,3.810329
trauma_injuries_inc_burns_total,7.114847,7.524358,6.641366,6.531011,7.382852,7.719808,8.126642,7.718308,7.406375,7.693059,7.827611,8.641783,8.571246,8.15958
genito_urinary_system_disorders_exc_infertility_total,4.752755,5.36096,4.606114,5.11779,4.560139,4.651248,4.267181,4.367299,4.223175,3.904037,3.8906,3.758067,3.81775,4.328123
genital_tract_problems,2.154322,2.176876,2.157412,1.122392,1.083543,1.01431,1.177247,1.052174,1.301384,1.157677,1.100373,0.706746,0.983508,1.111223
renal_problems,0.264773,0.367337,0.274275,0.961698,1.044022,1.029076,0.922582,1.206765,1.078356,1.105164,1.087959,1.496389,1.379435,1.62397
chronic_renal_failure,0.830695,0.585691,0.607127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexually_transmitted_infections,0.0,0.0,0.0,0.47706,0.115077,0.200055,0.071946,0.010965,0.002873,0.0,0.005484,0.011287,0.005423,0.021032
other_problems_of_the_genito_urinary_system,1.502965,2.231057,1.567301,2.556641,2.317497,2.407808,2.095406,2.097396,1.840562,1.641196,1.696784,1.543645,1.449384,1.571897
maternity_reproductive_health_total,4.035072,4.425372,4.879125,3.034221,3.635495,3.613099,3.288323,3.537564,3.954202,3.736854,3.54914,3.19737,2.870793,3.021128
neonates_total,0.5453,0.868884,1.137289,1.221669,1.148385,0.978357,0.965516,1.202174,0.723215,0.745593,0.9779,1.044396,1.046167,0.804743
