Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21,2021-22,2022-23
maternity_reproductive_health_total,29173.25876,30221.95755,30073.76552,28180.04448,29345.74459,30458.76535,31239.07992,33989.02283,38809.62366,39878.68218,28490.82799,45475.14741,32033.88897,34997.64471
neonates_total,7534.199871,7110.675697,7760.940396,8445.988812,8967.486364,8685.895424,7630.364001,9073.838274,10835.399,10383.08353,6924.934387,6914.577394,5382.156683,5918.544434
poisoning_total,9994.195234,9603.722692,10479.12845,9966.492375,11106.81391,11384.64042,13044.92232,15386.43185,13143.90321,12537.64623,9525.046691,11127.10941,10840.07142,11062.60134
healthy_individuals_includes_screening_total,21876.61727,21990.02489,22161.96812,17595.80291,15014.36425,15125.9621,17367.20767,23951.51682,19908.61812,23279.83116,19492.13247,23097.02895,35831.8179,33420.35029
social_care_needs_total,10309.03039,7291.863808,6839.72303,7690.080121,7701.355401,8204.844079,9295.046215,10788.09335,10753.60206,12550.22756,9114.053283,12828.3164,10329.59205,10441.05294
other_total,125327.0961,137001.9593,127256.2198,122515.4096,122846.3275,124889.1757,133605.4836,129880.9945,150328.2122,154348.5592,114066.2707,133181.3243,144648.7646,146407.7159
general_medical_services,61118.58559,56121.5675,57155.44754,54545.74507,56415.77856,60122.22074,63029.89891,63227.37803,70730.05559,70539.04138,54713.56474,62976.66242,67069.77302,66446.65618
open_access,11226.37127,12872.89882,17061.42425,15956.77071,16859.53818,17124.05675,17303.67087,19906.77637,14994.91743,14964.97191,10011.51016,10721.11205,9080.114963,12367.75748
continuing_care,25497.05884,27418.95435,21725.36254,21383.42407,15018.83022,15790.32703,17126.00141,18785.69085,28192.35462,30973.82711,21887.43707,24786.98183,27609.12938,17698.25902
other_phw_functions,0.0,4235.0,4597.620024,7846.171613,11963.0,12427.0,12982.0,10553.84672,11689.12806,12663.52226,10366.21012,9201.020224,13317.12017,15887.85774
other_expenditure,27485.08037,36353.53865,26716.36549,22783.79034,22589.18053,19425.57117,23163.91245,17407.3025,24721.75647,25207.19651,17087.54865,25495.54782,27572.62704,34007.1855
