Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23
other_problems_of_the_genito_urinary_system,22.477456,24.91461,26.980108,31.114296,33.076678,34.824631,39.746088,38.750034,34.58838,39.134181,37.061428,36.498165,33.020503,39.586789
maternity_reproductive_health_total,56.87671,58.635593,58.059592,54.264398,56.378721,58.271314,59.444018,64.184971,72.969897,74.644514,72.995757,116.319897,84.351873,91.272806
neonates_total,14.688811,13.795886,14.98306,16.263867,17.228236,16.617172,14.519618,17.135063,20.372729,19.434951,17.74223,17.686648,14.172335,15.435386
poisoning_total,19.484863,18.63281,20.23072,19.191798,21.338289,21.780198,24.822837,29.055783,24.713181,23.467839,24.403924,28.461793,28.544156,28.850932
healthy_individuals_includes_screening_total,42.651046,42.664283,42.785292,33.883043,28.845431,28.937801,33.0476,45.230115,37.432206,43.574952,49.940387,59.079391,94.352607,87.159269
social_care_needs_total,20.098671,14.147421,13.204583,14.808265,14.795759,15.696862,17.687297,20.372267,20.218934,23.491389,23.350926,32.813273,27.199958,27.229952
other_total,244.339959,265.806448,245.677389,235.919604,236.011011,238.928146,254.234338,245.267652,282.647271,288.908071,292.246817,340.661632,380.890194,381.826924
general_medical_services,119.157893,108.885118,110.342749,105.035037,108.385372,115.021103,119.937926,119.398767,132.986729,132.034264,140.180485,161.086644,176.608621,173.290883
open_access,21.887135,24.975552,32.938321,30.72687,32.390359,32.760398,32.926697,37.592015,28.19346,28.011283,25.650282,27.423301,23.909826,32.25474
continuing_care,49.709524,53.197304,41.942393,41.176608,28.854011,30.208812,32.588615,35.474954,53.007296,57.976496,56.077347,63.402085,72.700563,46.156528
other_phw_functions,0,8.2166,8.87604,15.10884,22.983184,23.774359,24.703104,19.929915,21.977912,23.703453,26.559051,23.535091,35.066739,41.435056
other_expenditure,53.585407,70.531874,51.577887,43.873198,43.398085,37.163475,44.077996,32.872001,46.481874,47.182575,43.779653,65.214511,72.604445,88.689718
