HealthBoard,FinancialYear,Category breakdown,MetricType,Value
Wales,2011-12,eyevision_problems_total,Expenditure,122642.8018
Wales,2011-12,hearing_problems_total,Expenditure,26795.97657
Wales,2011-12,circulation_problems_total,Expenditure,453723.7454
Wales,2011-12,coronary_heart_disease,Expenditure,162256.7516
Wales,2011-12,cerebrovascular_disease,Expenditure,75272.97057
Wales,2011-12,other_problems_of_circulation,Expenditure,216194.0232
Wales,2011-12,respiratory_problems_total,Expenditure,354673.5639
Wales,2011-12,dental_problems_total,Expenditure,184004.6932
Wales,2011-12,gastro_intestinal_problems_total,Expenditure,314411.7589
Wales,2011-12,skin_problems_total,Expenditure,108037.0543
Wales,2011-12,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,355409.0542
Wales,2011-12,trauma_injuries_inc_burns_total,Expenditure,357931.5479
Wales,2011-12,genito_urinary_system_disorders_exc_infertility_total,Expenditure,262804.566
Wales,2011-12,genital_tract_problems,Expenditure,110872.2651
Wales,2011-12,renal_problems,Expenditure,20869.18186
Wales,2011-12,chronic_renal_failure,Expenditure,39392.69762
Wales,2011-12,sexually_transmitted_infections,Expenditure,0.0
Wales,2011-12,other_problems_of_the_genito_urinary_system,Expenditure,91670.42143
Wales,2011-12,maternity_reproductive_health_total,Expenditure,191552.0008
Wales,2011-12,neonates_total,Expenditure,45756.06735
Wales,2011-12,poisoning_total,Expenditure,62481.99879
Wales,2011-12,healthy_individuals_includes_screening_total,Expenditure,146558.1106
Wales,2011-12,social_care_needs_total,Expenditure,42851.30254
Wales,2011-12,other_total,Expenditure,775752.5783
Wales,2011-12,general_medical_services,Expenditure,328289.4197
Wales,2011-12,open_access,Expenditure,82225.1365
Wales,2011-12,continuing_care,Expenditure,123001.8368
Wales,2011-12,other_phw_functions,Expenditure,27186.313
Wales,2011-12,other_expenditure,Expenditure,215049.8722
Wales,2012-13,total,Expenditure,5427472.461
Wales,2012-13,infectious_diseases_total,Expenditure,72821.35228
Wales,2012-13,cancers_tumours_total,Expenditure,360932.4973
Wales,2012-13,blood_disorders_total,Expenditure,41054.3251
Wales,2012-13,endocrine_nutritional_metabolic_problems_total,Expenditure,195207.8941
Wales,2012-13,diabetes,Expenditure,89807.26512
Wales,2012-13,other_endocrine_nutritional_and_metabolic_problems,Expenditure,105400.8346
Wales,2012-13,mental_health_problems_total,Expenditure,617500.846
Wales,2012-13,general_mental_illness,Expenditure,254376.9074
Wales,2012-13,elderly_mental_illness,Expenditure,178856.514
Wales,2012-13,child_adolescent_mental_health_services,Expenditure,42846.74606
Wales,2012-13,other_mental_health_problems,Expenditure,141420.6784
Wales,2012-13,learning_disability_problems_total,Expenditure,122400.5475
Wales,2012-13,neurological_system_problems_total,Expenditure,247709.2202
Wales,2012-13,eyevision_problems_total,Expenditure,119408.2931
Wales,2012-13,hearing_problems_total,Expenditure,23556.39618
Wales,2012-13,circulation_problems_total,Expenditure,442289.2257
Wales,2012-13,coronary_heart_disease,Expenditure,128444.0846
Wales,2012-13,cerebrovascular_disease,Expenditure,80448.74298
Wales,2012-13,other_problems_of_circulation,Expenditure,233395.6786
Wales,2012-13,respiratory_problems_total,Expenditure,361766.4097
Wales,2012-13,dental_problems_total,Expenditure,186718.4338
Wales,2012-13,gastro_intestinal_problems_total,Expenditure,302966.5967
Wales,2012-13,skin_problems_total,Expenditure,128316.9472
Wales,2012-13,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,345776.6554
Wales,2012-13,trauma_injuries_inc_burns_total,Expenditure,367449.535
Wales,2012-13,genito_urinary_system_disorders_exc_infertility_total,Expenditure,269825.8062
Wales,2012-13,genital_tract_problems,Expenditure,61406.62538
Wales,2012-13,renal_problems,Expenditure,72722.82787
Wales,2012-13,chronic_renal_failure,Expenditure,0.0
Wales,2012-13,sexually_transmitted_infections,Expenditure,15777.14895
Wales,2012-13,other_problems_of_the_genito_urinary_system,Expenditure,119919.204
Wales,2012-13,maternity_reproductive_health_total,Expenditure,178287.2603
Wales,2012-13,neonates_total,Expenditure,48853.91681
Wales,2012-13,poisoning_total,Expenditure,64844.65761
Wales,2012-13,healthy_individuals_includes_screening_total,Expenditure,121088.6195
Wales,2012-13,social_care_needs_total,Expenditure,45146.12647
Wales,2012-13,other_total,Expenditure,763550.8984
Wales,2012-13,general_medical_services,Expenditure,341964.7585
Wales,2012-13,open_access,Expenditure,82241.10279
Wales,2012-13,continuing_care,Expenditure,128677.4341
Wales,2012-13,other_phw_functions,Expenditure,42422.899
Wales,2012-13,other_expenditure,Expenditure,168245.1962
Wales,2013-14,total,Expenditure,5560110.73
Wales,2013-14,infectious_diseases_total,Expenditure,74892.99623
Wales,2013-14,cancers_tumours_total,Expenditure,380112.5157
Wales,2013-14,blood_disorders_total,Expenditure,47082.89434
Wales,2013-14,endocrine_nutritional_metabolic_problems_total,Expenditure,205463.8299
Wales,2013-14,diabetes,Expenditure,95235.63348
Wales,2013-14,other_endocrine_nutritional_and_metabolic_problems,Expenditure,110228.1965
Wales,2013-14,mental_health_problems_total,Expenditure,634474.271
Wales,2013-14,general_mental_illness,Expenditure,271146.5484
Wales,2013-14,elderly_mental_illness,Expenditure,181934.7523
Wales,2013-14,child_adolescent_mental_health_services,Expenditure,40248.6238
Wales,2013-14,other_mental_health_problems,Expenditure,141144.3466
Wales,2013-14,learning_disability_problems_total,Expenditure,123928.2559
Wales,2013-14,neurological_system_problems_total,Expenditure,266829.2522
Wales,2013-14,eyevision_problems_total,Expenditure,124020.0701
Wales,2013-14,hearing_problems_total,Expenditure,27725.03752
Wales,2013-14,circulation_problems_total,Expenditure,431297.5889
Wales,2013-14,coronary_heart_disease,Expenditure,116345.7593
Wales,2013-14,cerebrovascular_disease,Expenditure,81735.49295
Wales,2013-14,other_problems_of_circulation,Expenditure,233216.3367
Wales,2013-14,respiratory_problems_total,Expenditure,363487.7393
Wales,2013-14,dental_problems_total,Expenditure,182118.4212
Wales,2013-14,gastro_intestinal_problems_total,Expenditure,314925.1926
Wales,2013-14,skin_problems_total,Expenditure,134065.4027
Wales,2013-14,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,342629.4275
Wales,2013-14,trauma_injuries_inc_burns_total,Expenditure,393184.761
Wales,2013-14,genito_urinary_system_disorders_exc_infertility_total,Expenditure,277401.773
Wales,2013-14,genital_tract_problems,Expenditure,60144.58597
Wales,2013-14,renal_problems,Expenditure,80858.72112
Wales,2013-14,chronic_renal_failure,Expenditure,0.0
Wales,2013-14,sexually_transmitted_infections,Expenditure,17604.43028
Wales,2013-14,other_problems_of_the_genito_urinary_system,Expenditure,118794.0356
Wales,2013-14,maternity_reproductive_health_total,Expenditure,188959.032
Wales,2013-14,neonates_total,Expenditure,50075.85575
Wales,2013-14,poisoning_total,Expenditure,66579.84722
