Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           5.6,5.61430989,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
           2.0,2.043539892,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
           6.3,6.329185839,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
           2.2,2.237795312,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
           5.1,5.058073208,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
           7.9,7.91961943,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
           4.4,4.380181163,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
           3.0,3.026918271,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
           1.0,0.994723865,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
           1.0,0.972003265,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
           1.9,1.947516625,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
           1.2,1.202305064,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
          13.2,13.21774104,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
         100.0,100,Per cent of total,3,3,,Betsi Cadwaladr University Health Board,7A1,1,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
           2.4,2.404292606,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
           7.3,7.26664057,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
           0.7,0.728313661,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
           4.0,3.978462023,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
          15.2,15.16660918,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
           2.7,2.662668632,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
           3.7,3.734610448,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
           2.3,2.255231983,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
           0.5,0.526529991,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
           8.2,8.18567459,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
           5.6,5.596085264,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
           2.3,2.269333135,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
           6.1,6.073621212,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
           1.7,1.72446978,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
           5.5,5.529280738,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
