Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 
Gastro intestinal problems Total,50743.16672,49645.87204,52075.27837,48817.35929,52819.11039,55890.31303,59074.67004,68139.273,63181.16209,68238.84485
Skin problems Total,16629.73978,17013.31848,18259.76061,21464.45435,21351.38663,21023.53231,22052.79101,23837.64143,23806.96738,23492.55396
Musculo skeletal system problems (exc Trauma) Total,56196.37366,57393.19867,63368.01874,56917.42025,57030.06916,57631.40866,66061.08545,70128.88932,60744.33793,62058.68364
Trauma & injuries (inc burns) Total,61406.85487,60615.89164,60358.90522,69016.75313,67874.68725,74211.00945,75864.83097,77101.74307,79491.22648,83202.37856
Genito Urinary system disorders (exc infertility) Total,39383.05895,43641.81683,45090.91158,46990.53533,50656.81655,49510.07301,54041.4133,54886.1247,52386.766,54307.01192
Genital tract problems ,17313.03793,17218.13237,18857.24182,11402.36224,11810.19931,10806.79677,11954.79601,13059.8159,13752.93086,13242.45394
Renal problems ,2327.124001,4300.05925,3414.130279,16969.8067,18746.23954,17438.57241,17086.66345,17809.94451,17408.91282,17301.8852
Chronic renal failure,8213.737647,9282.136807,8844.356392,0,0,0,0,0,0,0
Sexually transmitted infections,0,0,0,2460.401548,2883.602933,3061.660157,4112.55005,3496.361409,2828.815513,2855.314869
Other problems of the genito urinary system ,11529.15937,12841.4884,13975.18309,16157.96484,17216.77477,18203.04367,20887.40379,20520.00288,18396.10681,20907.35791
Maternity & reproductive health Total,29173.25876,30221.95755,30073.76552,28180.04448,29345.74459,30458.76535,31239.07992,33989.02283,38809.62366,39878.68218
Neonates Total,7534.199871,7110.675697,7760.940396,8445.988812,8967.486364,8685.895424,7630.364001,9073.838274,10835.399,10383.08353
Poisoning Total,9994.195234,9603.722692,10479.12845,9966.492375,11106.81391,11384.64042,13044.92232,15386.43185,13143.90321,12537.64623
Healthy individuals (includes Screening) Total,21876.61727,21990.02489,22161.96812,17595.80291,15014.36425,15125.9621,17367.20767,23951.51682,19908.61812,23279.83116
Social care needs Total,10309.03039,7291.863808,6839.72303,7690.080121,7701.355401,8204.844079,9295.046215,10788.09335,10753.60206,12550.22756
Other Total,125327.0961,137001.9593,127256.2198,122515.4096,122846.3275,124889.1757,133605.4836,129880.9945,150328.2122,154348.5592
General medical services,61118.58559,56121.5675,57155.44754,54545.74507,56415.77856,60122.22074,63029.89891,63227.37803,70730.05559,70539.04138
Open access,11226.37127,12872.89882,17061.42425,15956.77071,16859.53818,17124.05675,17303.67087,19906.77637,14994.91743,14964.97191
Continuing care,25497.05884,27418.95435,21725.36254,21383.42407,15018.83022,15790.32703,17126.00141,18785.69085,28192.35462,30973.82711
Other PHW functions,0,4235,4597.620024,7846.171613,11963,12427,12982,10553.84672,11689.12806,12663.52226
Other expenditure,27485.08037,36353.53865,26716.36549,22783.79034,22589.18053,19425.57117,23163.91245,17407.3025,24721.75647,25207.19651
